entity_name,technique_id_seq,num_techniques,motive,source,source_type
Night Dragon,T1587.001 -> T1588.002 -> T1566.002 -> T1190 -> T1133 -> T1078 -> T1204.001 -> T1003.002 -> T1550.002 -> T1074.002 -> T1219 -> T1043 -> T1071.001 -> T1027 -> T1562.001 -> T1027.002,16,Espionage,Tropchaud,aggregate
Dark Caracal,T1566.003 -> T1189 -> T1059.003 -> T1204.002 -> T1547.001 -> T1083 -> T1005 -> T1113 -> T1071.001 -> T1027 -> T1218.001 -> T1027.002,12,Espionage,Tropchaud,aggregate
Elderwood,T1566.002 -> T1566.001 -> T1189 -> T1203 -> T1204.001 -> T1204.002 -> T1105 -> T1027 -> T1027.002,9,Espionage,Tropchaud,aggregate
Transparent Tribe,T1584.001 -> T1608.004 -> T1583.001 -> T1566.001 -> T1566.002 -> T1189 -> T1203 -> T1204.002 -> T1059.005 -> T1204.001 -> T1568 -> T1564.001 -> T1027 -> T1036.005,14,Espionage,Tropchaud,aggregate
Stealth Falcon,T1053.005 -> T1059 -> T1047 -> T1059.001 -> T1555 -> T1555.003 -> T1555.004 -> T1057 -> T1033 -> T1016 -> T1012 -> T1082 -> T1005 -> T1573.001 -> T1071.001 -> T1041,16,Espionage,Tropchaud,aggregate
APT19,T1588.002 -> T1566.001 -> T1189 -> T1059.001 -> T1059 -> T1574.002 -> T1204.002 -> T1112 -> T1547.001 -> T1543.003 -> T1033 -> T1082 -> T1016 -> T1043 -> T1071.001 -> T1132.001 -> T1140 -> T1027 -> T1564.003 -> T1218.011 -> T1218.010,21,Espionage,Tropchaud,aggregate
Molerats,T1566.002 -> T1566.001 -> T1053.005 -> T1059.005 -> T1204.001 -> T1204.002 -> T1059.007 -> T1059.001 -> T1547.001 -> T1555.003 -> T1057 -> T1105 -> T1553.002 -> T1027 -> T1218.007 -> T1140,16,Espionage,Tropchaud,aggregate
Tropic Trooper,T1078.003 -> T1091 -> T1566.001 -> T1059.003 -> T1204.002 -> T1574.002 -> T1203 -> T1106 -> T1547.004 -> T1543.003 -> T1547.001 -> T1505.003 -> T1055.001 -> T1518.001 -> T1518 -> T1049 -> T1057 -> T1016 -> T1083 -> T1046 -> T1033 -> T1135 -> T1082 -> T1119 -> T1071.004 -> T1071.001 -> T1573.002 -> T1105 -> T1132.001 -> T1573 -> T1020 -> T1052.001 -> T1221 -> T1070.004 -> T1140 -> T1027.003 -> T1564.001 -> T1027 -> T1036.005,39,Espionage,Tropchaud,aggregate
Patchwork,T1587.002 -> T1588.002 -> T1566.001 -> T1189 -> T1566.002 -> T1204.002 -> T1059.003 -> T1574.002 -> T1204.001 -> T1197 -> T1059.005 -> T1053.005 -> T1059.001 -> T1203 -> T1559.002 -> T1547.001 -> T1112 -> T1548.002 -> T1055.012 -> T1555.003 -> T1033 -> T1082 -> T1518.001 -> T1083 -> T1021.001 -> T1005 -> T1119 -> T1074.001 -> T1560 -> T1105 -> T1132.001 -> T1102.001 -> T1070.004 -> T1553.002 -> T1036.005 -> T1027.001 -> T1027.005 -> T1027 -> T1027.002,39,Espionage,Tropchaud,aggregate
APT33,T1588.002 -> T1566.002 -> T1566.001 -> T1078 -> T1078.004 -> T1059.005 -> T1204.002 -> T1059.001 -> T1204.001 -> T1203 -> T1053.005 -> T1546.003 -> T1547.001 -> T1068 -> T1003.004 -> T1555.003 -> T1552.001 -> T1040 -> T1003.005 -> T1003.001 -> T1555 -> T1110.003 -> T1552.006 -> T1560.001 -> T1065 -> T1132.001 -> T1071.001 -> T1573.001 -> T1105 -> T1571 -> T1048.003 -> T1027,32,Espionage,Tropchaud,aggregate
FIN6,T1588.002 -> T1566.003 -> T1566.001 -> T1078 -> T1053.005 -> T1059.007 -> T1059 -> T1569.002 -> T1059.001 -> T1059.003 -> T1047 -> T1204.002 -> T1547.001 -> T1068 -> T1134 -> T1110.002 -> T1555.003 -> T1555 -> T1003.003 -> T1003.001 -> T1087.002 -> T1046 -> T1018 -> T1021.001 -> T1213 -> T1560 -> T1074.002 -> T1005 -> T1560.003 -> T1119 -> T1572 -> T1095 -> T1573.002 -> T1102 -> T1048.003 -> T1036.004 -> T1562.001 -> T1027 -> T1070.004 -> T1553.002,40,Financial,Tropchaud,aggregate
The White Company,T1566.001 -> T1204.002 -> T1203 -> T1124 -> T1518.001 -> T1027.002 -> T1070.004,7,Espionage,Tropchaud,aggregate
menuPass,T1583.001 -> T1588.002 -> T1566.001 -> T1190 -> T1199 -> T1078 -> T1047 -> T1204.002 -> T1574.002 -> T1059.003 -> T1053.005 -> T1574.001 -> T1059.001 -> T1106 -> T1055.012 -> T1003.002 -> T1003.004 -> T1056.001 -> T1003.003 -> T1087.002 -> T1046 -> T1049 -> T1018 -> T1083 -> T1016 -> T1210 -> T1021.004 -> T1021.001 -> T1005 -> T1039 -> T1074.002 -> T1560 -> T1119 -> T1560.001 -> T1074.001 -> T1568.001 -> T1090.002 -> T1105 -> T1140 -> T1218.004 -> T1036.003 -> T1027 -> T1036.005 -> T1036 -> T1070.004 -> T1553.002 -> T1070.003,47,Espionage,Tropchaud,aggregate
Naikon,T1078.002 -> T1566.001 -> T1053.005 -> T1204.002 -> T1047 -> T1574.002 -> T1137.006 -> T1547.001 -> T1518.001 -> T1046 -> T1016 -> T1018 -> T1036.004 -> T1036.005,14,Espionage,Tropchaud,aggregate
Sidewinder,T1598.002 -> T1598.003 -> T1566.002 -> T1566.001 -> T1204.001 -> T1559.002 -> T1204.002 -> T1059.001 -> T1059.007 -> T1203 -> T1059.005 -> T1574.002 -> T1547.001 -> T1082 -> T1518.001 -> T1124 -> T1033 -> T1016 -> T1518 -> T1057 -> T1083 -> T1074.001 -> T1119 -> T1071.001 -> T1105 -> T1020 -> T1218.005 -> T1027 -> T1036.005,29,Espionage,Tropchaud,aggregate
Ferocious Kitten,T1583.001 -> T1588.002 -> T1566.001 -> T1204.002 -> T1036.002 -> T1036.005,6,Espionage,Tropchaud,aggregate
