entity_name,technique_id_seq,num_techniques,motive,source
Daixin,T1598.002 -> T1190 -> T1078 -> T1098 -> T1003 -> T1563.001 -> T1563.002 -> T1550.002 -> T1567 -> T1486,10,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-294a
Unknown2,T1078 -> T1047 -> T1059 -> T1059.001 -> T1059.003 -> T1059.006 -> T1129 -> T1569 -> T1078 -> T1543 -> T1078 -> T1036.005 -> T1070 -> T1070.004 -> T1078 -> T1497.001 -> T1562.001 -> T1574 -> T1016 -> T1016.001 -> T1033 -> T1049 -> T1057 -> T1082 -> T1083 -> T1497.001 -> T1021.002 -> T1560.001 -> T1039 -> T1074.002 -> T1095 -> T1105 -> T1090 -> T1029 -> T1567.002,35,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-277a
ViceSociety,T1190 -> T1078 -> T1047 -> T1053 -> T1543.003 -> T1547.001 -> T1574.002 -> T1068 -> T1036 -> T1055 -> T1497 -> T1080 -> T1486 -> T1531,14,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-249a-0
Zeppelin,T1133 -> T1190 -> T1566 -> T1204.001 -> T1204.002 -> T1543.003 -> T1486,7,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-223a
Karakurt,T1589.001 -> T1589.002 -> T1591.002 -> T1190 -> T1133 -> T1566 -> T1566.001 -> T1078 -> T1078 -> T1083 -> T1219 -> T1048 -> T1567.002,13,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-152a
Sandworm,T1133 -> T1059.004 -> T1542.001 -> T1037.004 -> T1562.004 -> T1036.005 -> T1082 -> T1090 -> T1132.002 -> T1008 -> T1071.001 -> T1573.002 -> T1571 -> T1041,14,Sabotage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-054a
VoltTyphoon2,T1583.003 -> T1059.004 -> T1584.008 -> T1685 -> T1573 -> T1546 -> T1083 -> T1222.002 -> T1564.013 -> T1070.004 -> T1105 -> T1036 -> T1036.004 -> T1095 -> T1571 -> T1057 -> T1055.009 -> T1518.001 -> T1082 -> T1016,20,Espionage,https://attack.mitre.org/campaigns/C0035/
UNC3890,T1583.001 -> T1584.001 -> T1587.001 -> T1189 -> T1105 -> T1588.002 -> T1608.001 -> T1608.002 -> T1608.004,9,Espionage,https://attack.mitre.org/campaigns/C0010/
TransparetTribe,T1583.001 -> T1059.005 -> T1587.003 -> T1566.001 -> T1566.002 -> T1608.001 -> T1204.001 -> T1204.002,8,Espionage,https://attack.mitre.org/campaigns/C0011/
Unknown3,T1071.001 -> T1059.001 -> T1486 -> T1190 -> T1105 -> T1570 -> T1036 -> T1036.005 -> T1046 -> T1571 -> T1027.010 -> T1588.002 -> T1219.002 -> T1021.001 -> T1072 -> T1218.011 -> T1016 -> T1033 -> T1047,19,Financial,https://attack.mitre.org/campaigns/C0018/
Unknown4,T1583.001 -> T1071.001 -> T1059.001 -> T1584.001 -> T1140 -> T1573.002 -> T1105 -> T1095 -> T1027.009 -> T1027.010 -> T1588.002 -> T1566.002 -> T1608.001 -> T1218.011 -> T1204.001,15,Espionage,https://attack.mitre.org/campaigns/C0021/
