entity_name,technique_id_seq,num_techniques,motive,source,source_type
Unknown5,T1583 -> T1585 -> T1588 -> T1059 -> T1047 -> T1057 -> T1018 -> T1082 -> T1016 -> T1049 -> T1560 -> T1105,12,Espionage,https://attack.mitre.org/campaigns/C0007/,bounded_incident
UNC6040,T1598 -> T1586 -> T1587 -> T1585 -> T1588 -> T1608 -> T1078 -> T1059 -> T1671 -> T1083 -> T1213 -> T1090 -> T1020 -> T1567 -> T1036 -> T1684,16,Financial,https://attack.mitre.org/campaigns/C0059/,bounded_incident
Lynx,T1133 -> T1078 -> T1059 -> T1098 -> T1136 -> T1543 -> T1087 -> T1046 -> T1135 -> T1012 -> T1018 -> T1082 -> T1016 -> T1021 -> T1560 -> T1219 -> T1567 -> T1486 -> T1490,19,Financial,https://thedfirreport.com/2025/12/17/cats-got-your-files-lynx-ransomware/,bounded_incident
LunarSpider,T1078 -> T1189 -> T1059 -> T1204 -> T1059 -> T1053 -> T1569 -> T1059 -> T1047 -> T1547 -> T1134 -> T1548 -> T1055 -> T1555 -> T1552 -> T1003 -> T1087 -> T1069 -> T1482 -> T1083 -> T1087 -> T1069 -> T1046 -> T1135 -> T1018 -> T1518 -> T1082 -> T1033 -> T1210 -> T1570 -> T1021 -> T1560 -> T1105 -> T1571 -> T1071 -> T1048 -> T1027 -> T1070 -> T1027 -> T1036 -> T1218 -> T1222,42,Financial,https://thedfirreport.com/2025/09/29/from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusion/,bounded_incident
RansomHub2,T1133 -> T1078 -> T1059 -> T1543 -> T1003 -> T1110 -> T1087 -> T1069 -> T1482 -> T1083 -> T1087 -> T1069 -> T1046 -> T1057 -> T1018 -> T1016 -> T1570 -> T1021 -> T1219 -> T1048 -> T1486 -> T1490 -> T1070 -> T1222 -> T1070,25,Financial,https://thedfirreport.com/2025/06/30/hide-your-rdp-password-spray-leads-to-ransomhub-deployment/,bounded_incident
ELPACO,T1190 -> T1059 -> T1047 -> T1136 -> T1112 -> T1543 -> T1134 -> T1068 -> T1003 -> T1057 -> T1012 -> T1018 -> T1016 -> T1021 -> T1071 -> T1105 -> T1219 -> T1486 -> T1562,19,Financial,https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/,bounded_incident
BlackSuit2,T1189 -> T1204 -> T1127 -> T1059 -> T1569 -> T1059 -> T1047 -> T1547 -> T1134 -> T1003 -> T1069 -> T1482 -> T1087 -> T1069 -> T1135 -> T1018 -> T1518 -> T1082 -> T1033 -> T1570 -> T1021 -> T1560 -> T1102 -> T1105 -> T1572 -> T1071 -> T1567 -> T1486 -> T1490 -> T1564 -> T1218,31,Financial,https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/,bounded_incident
LockBit2,T1190 -> T1059 -> T1072 -> T1059 -> T1136 -> T1543 -> T1552 -> T1003 -> T1046 -> T1057 -> T1018 -> T1016 -> T1033 -> T1021 -> T1105 -> T1219 -> T1567 -> T1486 -> T1070 -> T1218,20,Financial,https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/,bounded_incident
LockBit3,T1204 -> T1059 -> T1053 -> T1569 -> T1059 -> T1047 -> T1547 -> T1055 -> T1552 -> T1003 -> T1087 -> T1069 -> T1482 -> T1615 -> T1057 -> T1018 -> T1021 -> T1090 -> T1071 -> T1048 -> T1567 -> T1486 -> T1562 -> T1036,24,Financial,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,bounded_incident
BlackSuit3,T1204 -> T1059 -> T1569 -> T1059 -> T1112 -> T1547 -> T1548 -> T1055 -> T1558 -> T1003 -> T1069 -> T1482 -> T1018 -> T1518 -> T1082 -> T1021 -> T1550 -> T1560 -> T1090 -> T1071 -> T1486 -> T1490,22,Financial,https://thedfirreport.com/2024/08/26/blacksuit-ransomware/,bounded_incident
DragonLocker,T1204 -> T1053 -> T1059 -> T1047 -> T1059 -> T1136 -> T1134 -> T1055 -> T1003 -> T1552 -> T1087 -> T1069 -> T1482 -> T1083 -> T1135 -> T1082 -> T1614 -> T1124 -> T1033 -> T1021 -> T1560 -> T1039 -> T1219 -> T1071 -> T1573 -> T1105 -> T1567 -> T1020 -> T1486 -> T1490 -> T1489 -> T1562 -> T1218 -> T1027 -> T1562,35,Financial,https://thedfirreport.com/2024/04/29/from-icedid-to-dagon-locker-ransomware-in-29-days/,bounded_incident
Nokoyawa,T1566 -> T1204 -> T1059 -> T1053 -> T1059 -> T1543 -> T1055 -> T1552 -> T1003 -> T1069 -> T1482 -> T1083 -> T1046 -> T1057 -> T1018 -> T1518 -> T1082 -> T1033 -> T1021 -> T1039 -> T1105 -> T1219 -> T1071 -> T1048 -> T1486 -> T1070 -> T1036 -> T1218,28,Financial,https://thedfirreport.com/2024/04/01/from-onenote-to-ransomnote-an-ice-cold-intrusion/,bounded_incident
Trigona,T1078 -> T1133 -> T1059 -> T1112 -> T1547 -> T1018 -> T1069 -> T1033 -> T1135 -> T1083 -> T1021 -> T1570 -> T1105 -> T1567 -> T1486 -> T1562,16,Financial,https://thedfirreport.com/2024/01/29/buzzing-on-christmas-eve-trigona-ransomware-in-3-hours/,bounded_incident
BlueSky,T1078 -> T1053 -> T1059 -> T1569 -> T1112 -> T1543 -> T1055 -> T1110 -> T1003 -> T1033 -> T1135 -> T1021 -> T1071 -> T1486 -> T1562 -> T1027 -> T1036,17,Financial,https://thedfirreport.com/2023/12/04/sql-brute-force-leads-to-bluesky-ransomware/,bounded_incident
Quantum,T1204 -> T1059 -> T1047 -> T1053 -> T1055 -> T1003 -> T1614 -> T1482 -> T1083 -> T1518 -> T1087 -> T1082 -> T1018 -> T1021 -> T1071 -> T1486 -> T1218,17,Financial,https://thedfirreport.com/2022/04/25/quantum-ransomware/,bounded_incident
Diavol,T1566 -> T1078 -> T1197 -> T1059 -> T1055 -> T1134 -> T1558 -> T1552 -> T1003 -> T1033 -> T1046 -> T1069 -> T1083 -> T1135 -> T1482 -> T1021 -> T1567 -> T1486 -> T1562,19,Financial,https://thedfirreport.com/2021/12/13/diavol-ransomware/,bounded_incident
XingLocker,T1047 -> T1053 -> T1059 -> T1055 -> T1134 -> T1003 -> T1033 -> T1046 -> T1069 -> T1083 -> T1135 -> T1482 -> T1518 -> T1021 -> T1486 -> T1562,16,Financial,https://thedfirreport.com/2021/10/18/icedid-to-xinglocker-ransomware-in-24-hours/,bounded_incident
Conti,T1059 -> T1569 -> T1059 -> T1047 -> T1055 -> T1018 -> T1087 -> T1482 -> T1082 -> T1518 -> T1012 -> T1550 -> T1021 -> T1048 -> T1486,15,Financial,https://thedfirreport.com/2021/09/13/bazarloader-to-conti-ransomware-in-32-hours/,bounded_incident
Sodinokibi,T1566 -> T1204 -> T1047 -> T1204 -> T1059 -> T1053 -> T1055 -> T1482 -> T1087 -> T1082 -> T1016 -> T1518 -> T1018 -> T1021 -> T1071 -> T1048 -> T1486 -> T1218,18,Financial,https://thedfirreport.com/2021/03/29/sodinokibi-aka-revil-ransomware/,bounded_incident
Conti2,T1059 -> T1569 -> T1136 -> T1055 -> T1484 -> T1134 -> T1003 -> T1033 -> T1069 -> T1018 -> T1046 -> T1087 -> T1021 -> T1550 -> T1021 -> T1090 -> T1071 -> T1486 -> T1562,19,Financial,https://thedfirreport.com/2021/05/12/conti-ransomware/,bounded_incident
BazarCall,T1566 -> T1059 -> T1047 -> T1003 -> T1482 -> T1033 -> T1082 -> T1087 -> T1217 -> T1021 -> T1074 -> T1486 -> T1218 -> T1562,14,Financial,https://thedfirreport.com/2021/08/01/bazarcall-to-conti-ransomware-via-trickbot-and-cobalt-strike/,bounded_incident
PYSA,T1133 -> T1078 -> T1059 -> T1053 -> T1003 -> T1087 -> T1018 -> T1083 -> T1482 -> T1087 -> T1057 -> T1570 -> T1021 -> T1071 -> T1041 -> T1486 -> T1218,17,Financial,https://thedfirreport.com/2020/11/23/pysa-mespinoza-ransomware/,bounded_incident
Ryuk,T1566 -> T1078 -> T1047 -> T1059 -> T1204 -> T1068 -> T1482 -> T1018 -> T1124 -> T1021 -> T1105 -> T1071 -> T1573 -> T1486 -> T1218,15,Financial,https://thedfirreport.com/2020/10/18/ryuk-in-5-hours/,bounded_incident
Bazarloader,T1566 -> T1078 -> T1059 -> T1204 -> T1059 -> T1204 -> T1136 -> T1055 -> T1003 -> T1087 -> T1482 -> T1087 -> T1083 -> T1057 -> T1135 -> T1018 -> T1518 -> T1033 -> T1124 -> T1570 -> T1021 -> T1005 -> T1039 -> T1074 -> T1218,25,Financial,https://thedfirreport.com/2021/10/04/bazarloader-and-the-conti-leaks/,bounded_incident
Conti3,T1590 -> T1566 -> T1059 -> T1047 -> T1055 -> T1482 -> T1124 -> T1087 -> T1057 -> T1083 -> T1021 -> T1105 -> T1567 -> T1486 -> T1218,15,Financial,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/,bounded_incident
